TimeStep,FairPrice
0,998
1,996
2,995
3,996
4,998
5,1000
6,1001
7,1001
8,1001
9,1000
10,999
11,1001
12,999
13,997
14,998
15,998
16,997
17,997
18,997
19,998
20,1000
21,998
22,997
23,998
24,998
25,997
26,999
27,1000
28,998
29,999
30,1001
31,1001
32,1001
33,1002
34,1002
35,1004
36,1006
37,1006
38,1007
39,1007
40,1009
41,1008
42,1008
43,1006
44,1004
45,1006
46,1006
47,1004
48,1002
49,1000
50,1000
51,999
52,997
53,996
54,994
55,994
56,994
57,992
58,993
59,991
60,991
61,991
62,993
63,994
64,992
65,994
66,994
67,995
68,997
69,999
70,998
71,996
72,995
73,993
74,992
75,991
76,993
77,991
78,992
79,991
80,991
81,991
82,990
83,989
84,988
85,990
86,991
87,993
88,995
89,997
90,995
91,997
92,999
93,999
94,998
95,1000
96,1002
97,1003
98,1003
99,1003
100,1001
101,999
102,1001
103,1003
104,1002
105,1002
106,1002
107,1000
108,998
109,999
110,998
111,999
112,999
113,998
114,996
115,997
116,995
117,997
118,996
119,996
120,996
121,997
122,995
123,993
124,991
125,993
126,994
127,994
128,994
129,994
130,992
131,994
132,995
133,996
134,995
135,997
136,996
137,996
138,998
139,997
140,997
141,998
142,997
143,997
144,995
145,995
146,997
147,995
148,994
149,993
150,993
151,991
152,990
153,988
154,990
155,991
156,989
157,991
158,992
159,990
160,992
161,992
162,993
163,994
164,995
165,997
166,996
167,997
168,995
169,994
170,993
171,994
172,992
173,990
174,991
175,992
176,994
177,995
178,995
179,997
180,997
181,997
182,998
183,1000
184,999
185,998
186,1000
187,999
188,998
189,999
190,1001
191,1000
192,1001
193,1000
194,1000
195,1002
196,1003
197,1001
198,1002
199,1000
200,999
201,998
202,996
203,998
204,996
205,994
206,993
207,991
208,989
209,991
210,993
211,994
212,996
213,998
214,997
215,995
216,993
217,993
218,991
219,989
220,987
221,988
222,988
223,987
224,987
225,989
226,988
227,986
228,986
229,987
230,987
231,987
232,985
233,983
234,981
235,982
236,983
237,985
238,985
239,986
240,985
241,983
242,983
243,983
244,982
245,984
246,985
247,983
248,981
249,983
250,985
251,986
252,984
253,984
254,982
255,983
256,981
257,982
258,983
259,985
260,987
261,985
262,986
263,988
264,988
265,988
266,989
267,991
268,991
269,990
270,988
271,987
272,986
273,987
274,988
275,989
276,987
277,987
278,985
279,983
280,981
281,983
282,984
283,984
284,985
285,984
286,982
287,981
288,983
289,982
290,983
291,983
292,982
293,981
294,981
295,980
296,982
297,981
298,979
299,977
300,975
301,976
302,974
303,976
304,976
305,978
306,977
307,975
308,977
309,976
310,975
311,977
312,978
313,977
314,975
315,977
316,976
317,974
318,976
319,976
320,978
321,980
322,982
323,984
324,984
325,986
326,987
327,985
328,984
329,984
330,982
331,984
332,982
333,984
334,983
335,981
336,982
337,981
338,979
339,981
340,982
341,980
342,980
343,982
344,981
345,981
346,983
347,984
348,986
349,984
350,985
351,984
352,982
353,984
354,985
355,987
356,989
357,987
358,988
359,986
360,988
361,988
362,987
363,987
364,988
365,989
366,990
367,991
368,992
369,993
370,993
371,993
372,994
373,993
374,991
375,993
376,991
377,990
378,989
379,988
380,989
381,988
382,987
383,988
384,988
385,986
386,984
387,985
388,985
389,986
390,988
391,987
392,986
393,988
394,987
395,987
396,988
397,989
398,991
399,990
400,992
401,992
402,993
403,995
404,996
405,996
406,995
407,993
408,993
409,993
410,992
411,992
412,991
413,990
414,990
415,991
416,992
417,991
418,991
419,992
420,993
421,993
422,992
423,994
424,995
425,995
426,993
427,993
428,992
429,992
430,990
431,989
432,990
433,988
434,989
435,988
436,990
437,988
438,988
439,989
440,987
441,988
442,986
443,986
444,987
445,989
446,987
447,987
448,985
449,984
450,986
451,986
452,988
453,990
454,989
455,988
456,988
457,989
458,987
459,987
460,987
461,987
462,985
463,985
464,987
465,986
466,987
467,985
468,987
469,986
470,984
471,985
472,987
473,985
474,984
475,986
476,985
477,984
478,986
479,988
480,989
481,989
482,991
483,993
484,991
485,991
486,989
487,990
488,992
489,991
490,993
491,993
492,995
493,994
494,993
495,994
496,994
497,994
498,994
499,992
500,990
501,990
502,991
503,992
504,990
505,991
506,992
507,990
508,989
509,989
510,988
511,988
512,989
513,987
514,987
515,988
516,986
517,984
518,983
519,982
520,982
521,982
522,983
523,985
524,985
525,983
526,985
527,984
528,984
529,986
530,985
531,984
532,982
533,981
534,979
535,980
536,980
537,982
538,980
539,979
540,977
541,977
542,979
543,979
544,981
545,982
546,980
547,978
548,976
549,977
550,979
551,979
552,980
553,980
554,978
555,977
556,976
557,977
558,975
559,974
560,975
561,976
562,976
563,975
564,977
565,977
566,975
567,973
568,972
569,970
570,968
571,967
572,968
573,968
574,970
575,972
576,974
577,974
578,974
579,976
580,974
581,974
582,976
583,976
584,974
585,973
586,971
587,971
588,972
589,971
590,972
591,973
592,975
593,975
594,975
595,973
596,972
597,970
598,970
599,969
600,970
601,971
602,973
603,971
604,973
605,973
606,971
607,973
608,973
609,971
610,970
611,971
612,973
613,972
614,970
615,969
616,970
617,970
618,972
619,974
620,974
621,973
622,972
623,970
624,968
625,967
626,968
627,966
628,966
629,968
630,967
631,965
632,967
633,969
634,970
635,971
636,971
637,970
638,972
639,974
640,972
641,971
642,971
643,973
644,974
645,973
646,973
647,973
648,972
649,974
650,972
651,972
652,974
653,976
654,977
655,979
656,977
657,979
658,980
659,978
660,978
661,980
662,978
663,978
664,979
665,978
666,976
667,978
668,980
669,979
670,978
671,980
672,981
673,979
674,978
675,980
676,981
677,983
678,981
679,982
680,983
681,983
682,983
683,983
684,984
685,982
686,984
687,983
688,983
689,981
690,980
691,981
692,983
693,984
694,985
695,985
696,986
697,985
698,987
699,987
700,986
701,986
702,988
703,987
704,987
705,985
706,985
707,985
708,984
709,982
710,984
711,986
712,984
713,983
714,983
715,981
716,982
717,981
718,980
719,978
720,979
721,978
722,979
723,978
724,977
725,979
726,981
727,979
728,977
729,976
730,976
731,977
732,978
733,977
734,976
735,977
736,975
737,974
738,972
739,974
740,974
741,975
742,977
743,978
744,978
745,976
746,975
747,976
748,978
749,976
750,977
751,978
752,976
753,976
754,978
755,978
756,976
757,977
758,978
759,980
760,982
761,980
762,981
763,982
764,981
765,981
766,983
767,982
768,981
769,983
770,985
771,984
772,986
773,986
774,984
775,983
776,982
777,980
778,980
779,980
780,980
781,980
782,980
783,982
784,982
785,981
786,980
787,978
788,979
789,979
790,981
791,981
792,983
793,982
794,983
795,983
796,982
797,982
798,984
799,984
800,982
801,983
802,984
803,985
804,985
805,983
806,982
807,983
808,985
809,985
810,985
811,985
812,985
813,986
814,984
815,982
816,981
817,981
818,979
819,978
820,977
